,Edge,Capacity
0,"('Radom Gołębiów', 'Warka')",1
1,"('Kraków Główny', 'Bochnia')",1
2,"('Stalowa Wola Charzewice', 'Zaklików')",1
3,"('Częstochowa', 'Myszków')",1
4,"('Dorohusk', 'Chełm')",1
5,"('Werbkowice', 'Hrubieszów Miasto')",1
6,"('Siedlce', 'Łuków')",1
7,"('Kraków Główny', 'Tarnów')",1
8,"('Warszawa Wschodnia', 'Gdańsk Główny')",1
9,"('Brzesko Okocim', 'Bochnia')",1
10,"('Krotoszyn', 'Milicz')",1
11,"('Runowo Pomorskie', 'Chociwel')",1
12,"('Łódź Kaliska', 'Łódź Pabianicka')",1
13,"('Zamość Wschód', 'Werbkowice')",1
14,"('Hajnówka', 'Czeremcha')",1
15,"('Nowy Dwór Mazowiecki', 'Ciechanów')",1
16,"('Byczyna Kluczborska', 'Kępno')",1
17,"('Brzesko Okocim', 'Tarnów')",1
18,"('Wałbrzych Główny', 'Sędzisław')",1
19,"('Dęblin', 'Puławy Miasto')",1
20,"('Białystok Zielone Wzgórza', 'Łapy')",1
21,"('Zakopane', 'Poronin')",1
22,"('Gostynin', 'Kutno')",1
23,"('Gdynia Główna', 'Rumia')",1
24,"('Małkinia', 'Czyżew')",1
25,"('Dębica', 'Ropczyce')",1
26,"('Dąbrowa Białostocka', 'Sokółka')",1
27,"('Sucha Beskidzka Zamek', 'Maków Podhalański')",1
28,"('Radom Główny', 'Skarżysko Kościelne')",1
29,"('Toruń Miasto', 'Toruń Główny')",1
30,"('Mrozy', 'Siedlce Zachodnie')",1
31,"('Chełm', 'Jahodyn')",1
32,"('Paczków', 'Kamieniec Ząbkowicki')",1
33,"('Recz Pomorski', 'Stargard')",1
34,"('Nowy Tomyśl', 'Zbąszyń')",1
35,"('Biecz', 'Gorlice Zagórzany')",1
36,"('Olesno Śląskie', 'Kluczbork')",1
37,"('Ostrów Wielkopolski', 'Krotoszyn')",1
38,"('Chorzów Batory', 'Zabrze')",1
39,"('Jaworzyna Śląska', 'Świebodzice')",1
40,"('Zielona Góra Główna', 'Rzepin')",1
41,"('Krasnystaw Miasto', 'Trawniki')",1
42,"('Piotrków Trybunalski', 'Łódź Widzew')",1
43,"('Białystok Zielone Wzgórza', 'Mońki')",1
44,"('Czechowice-Dziedzice', 'Zebrzydowice')",1
45,"('Morąg', 'Pasłęk')",1
46,"('Warszawa Służewiec', 'Warszawa Zachodnia (Peron 9)')",1
47,"('Zaklików', 'Stalowa Wola Rozwadów')",1
48,"('Gliwice', 'Opole Główne')",1
49,"('Miechów', 'Koniecpol')",1
50,"('Sosnowiec Główny', 'Katowice')",1
51,"('Zagórz', 'Sanok')",1
52,"('Rejowiec', 'Chełm Miasto')",1
53,"('Zbąszyń', 'Zbąszynek')",1
54,"('Dęblin', 'Sobolew')",1
55,"('Warszawa Zachodnia', 'Sochaczew')",1
56,"('Węgliniec', 'Pieńsk')",1
57,"('Siemiatycze', 'Nurzec')",1
58,"('Malbork', 'Tczew')",1
59,"('Wrocław Główny', 'Jaworzyna Śląska')",1
60,"('Koło', 'Konin')",1
61,"('Międzyzdroje', 'Świnoujście')",1
62,"('Stalowa Wola Rozwadów', 'Biłgoraj')",1
63,"('Łódź Chojny', 'Pabianice')",1
64,"('Piła Główna', 'Wałcz')",1
65,"('Radzyń Podlaski', 'Parczew')",1
66,"('Toruń Główny', 'Solec Kujawski')",1
67,"('Warszawa Zachodnia', 'Grodzisk Mazowiecki')",1
68,"('Oświęcim', 'Czechowice-Dziedzice')",1
69,"('Opole Główne', 'Wrocław Główny')",1
70,"('Biała Podlaska', 'Międzyrzec Podlaski')",1
71,"('Stalowa Wola Centrum', 'Stalowa Wola Rozwadów')",1
72,"('Stróże', 'Grybów')",1
73,"('Częstochowa', 'Radomsko')",1
74,"('Tarnów', 'Dębica')",1
75,"('Sędziszów Małopolski', 'Ropczyce')",1
76,"('Sanok', 'Zarszyn')",1
77,"('Wejherowo', 'Lębork')",1
78,"('Koszalin', 'Białogard')",1
79,"('Biała Podlaska', 'Chotyłów')",1
80,"('Warszawa Centralna', 'Warszawa Zachodnia')",1
81,"('Łódź Widzew', 'Łódź Dąbrowa')",1
82,"('Piwniczna Zdrój', 'Łomnica Zdrój')",1
83,"('Wołomin', 'Tłuszcz')",1
84,"('Rytro', 'Stary Sącz')",1
85,"('Kluczbork', 'Byczyna Kluczborska')",1
86,"('Ruciane Nida', 'Szczytno')",1
87,"('Lubliniec', 'Ozimek')",1
88,"('Wrocław Leśnica', 'Środa Śląska')",1
89,"('Łódź Pabianicka', 'Łódź Kaliska')",1
90,"('Ropczyce', 'Sędziszów Małopolski')",1
91,"('Katowice', 'Rybnik')",1
92,"('Łochów', 'Tłuszcz')",1
93,"('Ciechanów', 'Mława')",1
94,"('Rejowiec', 'Trawniki')",1
95,"('Kalisz Pomorski', 'Recz Pomorski')",1
96,"('Krosno', 'Krosno Miasto')",1
97,"('Pionki Zachodnie', 'Radom Główny')",1
