,Edge,Capacity
0,"('Babimost_o', 'Zbąszynek_i')",1
1,"('Olsztyn Główny_o', 'Olsztyn Zachodni_i')",1
2,"('Gdynia Główna_o', 'Rumia_i')",1
3,"('Piła Główna_o', 'Jastrowie_i')",1
4,"('Kamieniec Ząbkowicki_o', 'Bardo Śląskie_i')",1
5,"('Kwidzyn_o', 'Sztum_i')",1
6,"('Zgorzelec_o', 'Zgorzelec Miasto_i')",1
7,"('Nasielsk_i', 'Nasielsk_o')",1
8,"('Tarnów_o', 'Brzesko Okocim_i')",1
9,"('Białystok Zielone Wzgórza_o', 'Mońki_i')",1
10,"('Łąg_i', 'Łąg_o')",1
11,"('Zaklików_o', 'Stalowa Wola Charzewice_i')",1
12,"('Piotrków Kujawski_i', 'Piotrków Kujawski_o')",1
13,"('Łódź Pabianicka_o', 'Łódź Chojny_i')",1
14,"('Ełk_o', 'Grajewo_i')",1
15,"('Ostróda_o', 'Olsztyn Zachodni_i')",1
16,"('Gorlice Zagórzany_i', 'Gorlice Zagórzany_o')",1
17,"('Szczecinek_o', 'Jastrowie_i')",1
18,"('Międzyrzecz_i', 'Międzyrzecz_o')",1
19,"('Radymno_o', 'Przemyśl Zasanie_i')",1
20,"('Rogoźno Wielkopolskie_o', 'Chodzież_i')",1
21,"('Warszawa Wschodnia_o', 'Warszawa Centralna_i')",1
22,"('Jelenia Góra_o', 'Wałbrzych Miasto_i')",1
23,"('Maków Podhalański_o', 'Sucha Beskidzka Zamek_i')",1
24,"('Lubliniec_o', 'Ozimek_i')",1
25,"('Łuków_i', 'Łuków_o')",1
26,"('Gorzkowice_i', 'Gorzkowice_o')",1
27,"('Tczew_o', 'Gdańsk Główny_i')",1
28,"('Wieleń_i', 'Wieleń_o')",1
29,"('Biłgoraj_o', 'Tereszpol Biłgorajski_i')",1
30,"('Piła Główna_o', 'Krajenka_i')",1
31,"('Zawada_o', 'Izbica_i')",1
32,"('Łódź Chojny_o', 'Łódź Pabianicka_i')",1
33,"('Zgierz_i', 'Zgierz_o')",1
34,"('Bielsk Podlaski_i', 'Bielsk Podlaski_o')",1
35,"('Radom Gołębiów_o', 'Radom Główny_i')",1
36,"('Piotrków Kujawski_o', 'Babiak_i')",1
37,"('Białogard_o', 'Koszalin_i')",1
38,"('Brzesko Okocim_i', 'Brzesko Okocim_o')",1
39,"('Kępno_o', 'Byczyna Kluczborska_i')",1
40,"('Nakło nad Notecią_o', 'Wyrzysk Osiek_i')",1
41,"('Jasło_o', 'Jedlicze_i')",1
42,"('Myszków_o', 'Częstochowa_i')",1
43,"('Wieluń_o', 'Krzepice_i')",1
44,"('Włocławek_o', 'Kutno_i')",1
45,"('Sztum_o', 'Kwidzyn_i')",1
46,"('Inowrocław_o', 'Toruń Główny_i')",1
47,"('Wróblik Szlachecki_i', 'Wróblik Szlachecki_o')",1
48,"('Zebrzydowice_o', 'Czechowice-Dziedzice_i')",1
49,"('Kuźnia Raciborska_o', 'Racibórz_i')",1
50,"('Nowy Dwór Mazowiecki_o', 'Legionowo_i')",1
51,"('Starachowice Wschodnie_i', 'Starachowice Wschodnie_o')",1
52,"('Toruń Miasto_o', 'Toruń Wschodni_i')",1
53,"('Chojnice_o', 'Lipka Krajeńska_i')",1
54,"('Siedlce_o', 'Łuków_i')",1
55,"('Wróblik Szlachecki_o', 'Krosno Miasto_i')",1
56,"('Warszawa Wschodnia_o', 'Legionowo_i')",1
57,"('Częstochowa Stradom_o', 'Częstochowa_i')",1
58,"('Brodnica_i', 'Brodnica_o')",1
59,"('Chełm_o', 'Dorohusk_i')",1
60,"('Małaszewicze Przystanek_o', 'Chotyłów_i')",1
61,"('Białystok_o', 'Sokółka_i')",1
62,"('Koniecpol_o', 'Częstochowa_i')",1
63,"('Chrzanów Śródmieście_o', 'Trzebinia_i')",1
64,"('Wałbrzych Miasto_o', 'Jelenia Góra_i')",1
65,"('Nowa Sarzyna_o', 'Rudnik nad Sanem_i')",1
66,"('Koniecpol_i', 'Koniecpol_o')",1
67,"('Legionowo_o', 'Nowy Dwór Mazowiecki_i')",1
68,"('Niemojki_o', 'Siedlce_i')",1
69,"('Piotrków Trybunalski_o', 'Gorzkowice_i')",1
70,"('Warszawa Główna_o', 'Warszawa Zachodnia_i')",1
71,"('Stargard_o', 'Recz Pomorski_i')",1
72,"('Kraków Główny_o', 'Krzeszowice_i')",1
73,"('Świdnik Miasto_i', 'Świdnik Miasto_o')",1
74,"('Rumia_o', 'Gdynia Główna_i')",1
75,"('Mrozy_o', 'Siedlce Zachodnie_i')",1
76,"('Ostrów Wielkopolski_o', 'Krotoszyn_i')",1
77,"('Nurzec_o', 'Siemiatycze_i')",1
78,"('Sosnowiec Główny_o', 'Dąbrowa Górnicza_i')",1
79,"('Rzepin_o', 'Kostrzyn_i')",1
80,"('Przeworsk_o', 'Jarosław_i')",1
81,"('Iława Główna_o', 'Warszawa Wschodnia_i')",1
82,"('Węgliniec_o', 'Pieńsk_i')",1
83,"('Nasielsk_o', 'Nowy Dwór Mazowiecki_i')",1
84,"('Pelplin_o', 'Smętowo_i')",1
85,"('Jędrzejów_i', 'Jędrzejów_o')",1
86,"('Chrzanów Śródmieście_i', 'Chrzanów Śródmieście_o')",1
87,"('Krzepice_o', 'Częstochowa Stradom_i')",1
88,"('Małaszewicze Przystanek_i', 'Małaszewicze Przystanek_o')",1
89,"('Tczew_o', 'Laskowice Pomorskie_i')",1
90,"('Opoczno Południe_o', 'Tomaszów Mazowiecki_i')",1
91,"('Pruszcz Gdański_i', 'Pruszcz Gdański_o')",1
92,"('Częstochowa_o', 'Myszków_i')",1
93,"('Warszawa Zachodnia_o', 'Sosnowiec Główny_i')",1
94,"('Mogilno_o', 'Gniezno_i')",1
95,"('Sierpc_o', 'Płock_i')",1
96,"('Konin_o', 'Poznań Główny_i')",1
97,"('Kraków Płaszów_o', 'Kraków Główny_i')",1
98,"('Kaliska_i', 'Kaliska_o')",1
99,"('Chałupki_i', 'Chałupki_o')",1
100,"('Brzeg_o', 'Opole Główne_i')",1
101,"('Gostynin_i', 'Gostynin_o')",1
102,"('Słupsk_o', 'Koszalin_i')",1
103,"('Żychlin_i', 'Żychlin_o')",1
