,Edge,Capacity
0,"('Puławy Miasto_o', 'Pionki Zachodnie_i')",1
1,"('Chrzanów Śródmieście_i', 'Chrzanów Śródmieście_o')",0
2,"('Chełm_o', 'Jahodyn_i')",1
3,"('Brzesko Okocim_o', 'Tarnów_i')",1
4,"('Gliwice_o', 'Częstochowa Stradom_i')",1
5,"('Olsztyn Zachodni_i', 'Olsztyn Zachodni_o')",1
6,"('Przemyśl Zasanie_o', 'Jarosław_i')",1
7,"('Nysa_i', 'Nysa_o')",0
8,"('Międzyzdroje_i', 'Międzyzdroje_o')",1
9,"('Malbork_o', 'Elbląg_i')",1
10,"('Augustów_i', 'Augustów_o')",1
11,"('Prabuty_i', 'Prabuty_o')",1
12,"('Warszawa Wschodnia_o', 'Warszawa Centralna_i')",2
13,"('Kędzierzyn Koźle_o', 'Zdzieszowice_i')",1
14,"('Gniezno_i', 'Gniezno_o')",1
15,"('Bydgoszcz Leśna_i', 'Bydgoszcz Leśna_o')",0
16,"('Stalowa Wola Centrum_o', 'Nisko_i')",1
17,"('Smętowo_o', 'Pelplin_i')",1
18,"('Łask_o', 'Pabianice_i')",1
19,"('Solec Kujawski_i', 'Solec Kujawski_o')",0
20,"('Rawicz_i', 'Rawicz_o')",1
21,"('Czyżew_o', 'Szepietowo_i')",1
22,"('Rytro_i', 'Rytro_o')",1
23,"('Wysoka Kamieńska_o', 'Goleniów_i')",1
24,"('Żyrardów_o', 'Warszawa Gdańska_i')",2
25,"('Oława_i', 'Oława_o')",2
26,"('Rzepin_o', 'Frankfurt (Oder)_i')",1
27,"('Częstochowa Stradom_o', 'Krzepice_i')",1
28,"('Rzeszów Główny_o', 'Rzeszów Zachodni_i')",1
29,"('Bydgoszcz Główna_o', 'Nakło nad Notecią_i')",1
30,"('Gryfino_o', 'Szczecin Główny_i')",1
31,"('Ciechanów_o', 'Warszawa Wschodnia_i')",1
32,"('Pasłęk_o', 'Morąg_i')",1
33,"('Chabówka Stadion_o', 'Nowy Targ_i')",1
34,"('Świebodzice_i', 'Świebodzice_o')",1
35,"('Stróże_o', 'Grybów_i')",1
36,"('Leszno_i', 'Leszno_o')",1
37,"('Łódź Dąbrowa_i', 'Łódź Dąbrowa_o')",0
38,"('Łódź Widzew_o', 'Łódź Fabryczna_i')",1
39,"('Ząbkowice Śląskie_i', 'Ząbkowice Śląskie_o')",0
40,"('Toruń Miasto_o', 'Toruń Wschodni_i')",1
41,"('Laskowice Pomorskie_o', 'Bydgoszcz Główna_i')",1
42,"('Pruszcz Gdański_o', 'Tczew_i')",1
43,"('Pieńsk_o', 'Węgliniec_i')",1
44,"('Kraków Płaszów_i', 'Kraków Płaszów_o')",1
45,"('Kłodzko Miasto_i', 'Kłodzko Miasto_o')",1
46,"('Zawiercie_o', 'Myszków_i')",1
47,"('Przeworsk_o', 'Łańcut_i')",1
48,"('Ustronie Morskie_o', 'Kołobrzeg_i')",1
49,"('Łódź Chojny_o', 'Łódź Dąbrowa_i')",1
50,"('Dorohusk_o', 'Chełm_i')",1
51,"('Augustów_o', 'Suwałki_i')",1
52,"('Lubliniec_o', 'Ozimek_i')",1
53,"('Skwierzyna_o', 'Międzyrzecz_i')",1
54,"('Wałbrzych Miasto_o', 'Wrocław Główny_i')",1
55,"('Wałbrzych Główny_i', 'Wałbrzych Główny_o')",1
56,"('Łódź Chojny_o', 'Piotrków Trybunalski_i')",1
57,"('Rawicz_o', 'Żmigród_i')",1
58,"('Zdzieszowice_o', 'Kędzierzyn Koźle_i')",1
59,"('Szczecinek_i', 'Szczecinek_o')",1
60,"('Radomsko_o', 'Częstochowa_i')",1
61,"('Głogów_o', 'Lubin_i')",1
62,"('Otmuchów_i', 'Otmuchów_o')",0
63,"('Racibórz_i', 'Racibórz_o')",1
64,"('Gorzkowice_o', 'Radomsko_i')",1
65,"('Trzcianka_o', 'Wieleń_i')",1
66,"('Kutno_o', 'Warszawa Zachodnia_i')",1
67,"('Wyrzysk Osiek_o', 'Piła Główna_i')",1
68,"('Witnica_o', 'Gorzów Wielkopolski_i')",1
69,"('Goleniów_o', 'Wysoka Kamieńska_i')",1
70,"('Małaszewicze Przystanek_o', 'Terespol_i')",1
71,"('Bolesławiec_i', 'Bolesławiec_o')",0
72,"('Piotrków Trybunalski_o', 'Radomsko_i')",1
73,"('Kępno_i', 'Kępno_o')",1
74,"('Białystok_i', 'Białystok_o')",1
75,"('Warszawa Wschodnia_o', 'Legionowo_i')",1
76,"('Zgierz_o', 'Ozorków_i')",2
77,"('Opoczno Południe_o', 'Warszawa Zachodnia_i')",1
78,"('Świdnik Miasto_o', 'Lublin Główny_i')",1
79,"('Koło_o', 'Konin_i')",1
80,"('Łódź Kaliska_o', 'Łódź\xa0Żabiniec_i')",1
81,"('Gliwice_o', 'Opole Główne_i')",1
82,"('Koszalin_o', 'Białogard_i')",1
83,"('Rzeszów Zachodni_o', 'Rzeszów Główny_i')",1
84,"('Oświęcim_o', 'Chrzanów Śródmieście_i')",1
85,"('Dęblin_i', 'Dęblin_o')",1
86,"('Szczecinek_o', 'Piła Główna_i')",1
87,"('Poznań Główny_o', 'Krzyż_i')",1
88,"('Inowrocław_o', 'Toruń Główny_i')",1
89,"('Poznań Główny_i', 'Poznań Główny_o')",4
90,"('Oborniki Wielkopolskie Miasto_o', 'Poznań Główny_i')",1
91,"('Koniecpol_o', 'Włoszczowa_i')",1
92,"('Brodnica_i', 'Brodnica_o')",0
93,"('Kaliska_o', 'Starogard Gdański_i')",1
94,"('Gorzów Wielkopolski_o', 'Skwierzyna_i')",1
95,"('Będzin Miasto_o', 'Dąbrowa Górnicza_i')",1
96,"('Stalowa Wola Charzewice_o', 'Tarnobrzeg_i')",1
97,"('Frankfurt (Oder)_i', 'Frankfurt (Oder)_o')",0
98,"('Sztum_o', 'Kwidzyn_i')",1
99,"('Radom Główny_o', 'Warka_i')",1
100,"('Prudnik_o', 'Głogówek_i')",1
101,"('Międzyrzecz_i', 'Międzyrzecz_o')",1
102,"('Świnoujście_o', 'Międzyzdroje_i')",1
103,"('Otwock_o', 'Warszawa Wschodnia_i')",1
104,"('Zwierzyniec_i', 'Zwierzyniec_o')",0
105,"('Kętrzyn_o', 'Giżycko_i')",1
106,"('Lubliniec_i', 'Lubliniec_o')",1
107,"('Włoszczowa_o', 'Kielce_i')",2
108,"('Nowy Targ_o', 'Chabówka Stadion_i')",1
109,"('Czechowice-Dziedzice_o', 'Bielsko-Biała Główna_i')",2
110,"('Kostrzyn_o', 'Chojna_i')",1
111,"('Świdwin_i', 'Świdwin_o')",1
112,"('Czechowice-Dziedzice_o', 'Oświęcim_i')",1
113,"('Mińsk Mazowiecki_i', 'Mińsk Mazowiecki_o')",1
114,"('Byczyna Kluczborska_i', 'Byczyna Kluczborska_o')",1
115,"('Krosno Miasto_o', 'Krosno_i')",1
116,"('Świebodzin_i', 'Świebodzin_o')",0
117,"('Grybów_o', 'Nowy Sącz_i')",1
118,"('Biecz_o', 'Jasło_i')",1
119,"('Olsztyn Zachodni_o', 'Olsztynek_i')",1
120,"('Tuchów_o', 'Tarnów_i')",1
121,"('Białystok_o', 'Białystok Zielone Wzgórza_i')",1
122,"('Petrovice u Karviné_o', 'Zebrzydowice_i')",1
123,"('Kalisz Pomorski_o', 'Recz Pomorski_i')",1
124,"('Lubliniec_o', 'Gliwice_i')",1
125,"('Malbork_o', 'Sztum_i')",1
126,"('Białystok Zielone Wzgórza_i', 'Białystok Zielone Wzgórza_o')",1
127,"('Babimost_i', 'Babimost_o')",1
128,"('Kielce_o', 'Suchedniów_i')",2
129,"('Krzyż_o', 'Dobiegniew_i')",1
130,"('Kłodzko Główne_o', 'Bardo Śląskie_i')",1
131,"('Wejherowo_o', 'Rumia_i')",1
132,"('Oleśnica Rataje_o', 'Wrocław Nadodrze_i')",1
133,"('Racibórz_o', 'Rybnik_i')",1
134,"('Wrocław Nadodrze_i', 'Wrocław Nadodrze_o')",1
135,"('Ozimek_o', 'Opole Główne_i')",1
136,"('Kutno_o', 'Warszawa Gdańska_i')",1
137,"('Lębork_o', 'Wejherowo_i')",1
138,"('Strzelce Krajeńskie Wschód_o', 'Gorzów Wielkopolski Wschodni_i')",1
139,"('Bytom Odrzański_o', 'Nowa Sól_i')",1
140,"('Gdańsk Wrzeszcz_o', 'Gdańsk Główny_i')",1
141,"('Opole Główne_o', 'Gliwice_i')",1
142,"('Będzin Miasto_o', 'Sosnowiec Główny_i')",1
143,"('Smętowo_o', 'Laskowice Pomorskie_i')",1
144,"('Sędziszów_o', 'Jędrzejów_i')",1
145,"('Krajenka_i', 'Krajenka_o')",0
146,"('Opoczno Południe_o', 'Warszawa Gdańska_i')",1
147,"('Oleśnica Rataje_o', 'Twardogóra_i')",1
148,"('Kraśnik_i', 'Kraśnik_o')",0
149,"('Augustów_o', 'Dąbrowa Białostocka_i')",1
150,"('Rudnik nad Sanem_o', 'Nisko_i')",1
151,"('Kalisz_o', 'Ostrów Wielkopolski_i')",1
152,"('Dębica_o', 'Ropczyce_i')",1
153,"('Kraków Główny_o', 'Kalwaria Zebrzydowska Lanckorona_i')",1
154,"('Świebodzin_o', 'Rzepin_i')",1
155,"('Chodzież_i', 'Chodzież_o')",1
156,"('Poznań Główny_o', 'Oborniki Wielkopolskie Miasto_i')",1
157,"('Łomnica Zdrój_o', 'Piwniczna Zdrój_i')",1
158,"('Poznań Główny_o', 'Środa Wielkopolska_i')",1
159,"('Drzewica_i', 'Drzewica_o')",0
160,"('Starogard Gdański_o', 'Tczew_i')",1
161,"('Nurzec_o', 'Siemiatycze_i')",1
162,"('Pszczyna_o', 'Czechowice-Dziedzice_i')",2
163,"('Runowo Pomorskie_o', 'Chociwel_i')",1
164,"('Szczecinek_o', 'Białogard_i')",1
165,"('Wrocław Mikołajów_o', 'Oborniki Śląskie_i')",1
166,"('Niemojki_o', 'Sarnaki_i')",1
167,"('Krzyż_o', 'Poznań Główny_i')",1
168,"('Biecz_o', 'Gorlice Zagórzany_i')",1
169,"('Krosno_o', 'Krosno Miasto_i')",1
170,"('Otwock_i', 'Otwock_o')",0
171,"('Szczecin Dąbie_o', 'Stargard_i')",2
172,"('Kępno_o', 'Wieruszów Miasto_i')",1
173,"('Rejowiec_o', 'Trawniki_i')",1
174,"('Nowogród Osiedle_o', 'Zielona Góra Główna_i')",1
175,"('Przemyśl Zasanie_o', 'Przemyśl Główny_i')",1
176,"('Białystok Zielone Wzgórza_o', 'Białystok_i')",2
177,"('Piaseczno_o', 'Warszawa Służewiec_i')",1
178,"('Łódź Kaliska_i', 'Łódź Kaliska_o')",2
179,"('Bochnia_o', 'Brzesko Okocim_i')",1
180,"('Warszawa Zachodnia_o', 'Opoczno Południe_i')",2
181,"('Zbąszynek_i', 'Zbąszynek_o')",1
182,"('Biała Podlaska_o', 'Chotyłów_i')",1
183,"('Brzesko Okocim_i', 'Brzesko Okocim_o')",0
184,"('Toruń Główny_o', 'Aleksandrów Kujawski_i')",2
185,"('Bydgoszcz Główna_o', 'Tczew_i')",1
186,"('Krosno_i', 'Krosno_o')",0
187,"('Solec Kujawski_o', 'Toruń Główny_i')",2
188,"('Wrocław Leśnica_o', 'Wrocław Główny_i')",1
189,"('Piotrków Trybunalski_i', 'Piotrków Trybunalski_o')",1
190,"('Trzebinia_o', 'Krzeszowice_i')",2
191,"('Sędzisław_o', 'Janowice Wielkie_i')",1
192,"('Nidzica_i', 'Nidzica_o')",0
193,"('Zamość Wschód_o', 'Zamość Starówka_i')",1
194,"('Stargard_o', 'Choszczno_i')",1
195,"('Oława_o', 'Wrocław Główny_i')",2
196,"('Inowrocław Rąbinek_o', 'Mogilno_i')",1
197,"('Łódź Chojny_i', 'Łódź Chojny_o')",1
198,"('Puławy Miasto_i', 'Puławy Miasto_o')",1
199,"('Zgierz_i', 'Zgierz_o')",2
200,"('Gdańsk Wrzeszcz_o', 'Gdańsk Oliwa_i')",2
201,"('Poznań Główny_o', 'Zbąszynek_i')",1
202,"('Ostróda_o', 'Olsztyn Zachodni_i')",1
203,"('Rypin_o', 'Sierpc_i')",1
204,"('Sierpc_o', 'Płock_i')",1
205,"('Kamieniec Ząbkowicki_o', 'Ziębice_i')",1
206,"('Tarnów_o', 'Brzesko Okocim_i')",1
207,"('Ozorków_i', 'Ozorków_o')",1
208,"('Białystok Zielone Wzgórza_o', 'Bielsk Podlaski_i')",1
209,"('Poronin_o', 'Nowy Targ_i')",1
210,"('Krzepice_i', 'Krzepice_o')",0
211,"('Gdańsk Wrzeszcz_i', 'Gdańsk Wrzeszcz_o')",1
212,"('Runowo Pomorskie_o', 'Łobez_i')",1
213,"('Mińsk Mazowiecki_o', 'Mrozy_i')",1
214,"('Tychy_o', 'Pszczyna_i')",2
215,"('Grudziądz_o', 'Kwidzyn_i')",1
216,"('Włoszczowa Północ_o', 'Warszawa Zachodnia_i')",1
217,"('Chełm_i', 'Chełm_o')",1
218,"('Wrocław Główny_o', 'Wałbrzych Miasto_i')",1
219,"('Twardogóra_i', 'Twardogóra_o')",1
220,"('Swarzędz_o', 'Poznań Główny_i')",1
221,"('Zielona Góra Główna_o', 'Głogów_i')",1
222,"('Stalowa Wola Rozwadów_o', 'Stalowa Wola Centrum_i')",1
223,"('Tychy_o', 'Rybnik_i')",1
224,"('Aleksandrów Kujawski_o', 'Toruń Główny_i')",2
225,"('Sławno_o', 'Koszalin_i')",2
226,"('Iława Główna_o', 'Prabuty_i')",1
227,"('Radomsko_o', 'Gorzkowice_i')",1
228,"('Chociwel_o', 'Runowo Pomorskie_i')",1
229,"('Kraków Główny_i', 'Kraków Główny_o')",4
230,"('Bochnia_o', 'Tarnów_i')",1
231,"('Nowogród Osiedle_o', 'Żary_i')",1
232,"('Kępno_o', 'Byczyna Kluczborska_i')",1
233,"('Jabłonowo Pomorskie_o', 'Wąbrzeźno_i')",1
234,"('Skierniewice_i', 'Skierniewice_o')",2
235,"('Rzepin_o', 'Zielona Góra Główna_i')",1
236,"('Ostrów Wielkopolski_o', 'Pleszew_i')",1
237,"('Myszków_o', 'Częstochowa_i')",1
238,"('Radom Główny_o', 'Radom Gołębiów_i')",1
239,"('Radzyń Podlaski_o', 'Łuków_i')",1
240,"('Kutno_o', 'Włocławek_i')",2
241,"('Wejherowo_i', 'Wejherowo_o')",1
242,"('Łódź Widzew_i', 'Łódź Widzew_o')",2
243,"('Ropczyce_o', 'Dębica_i')",1
244,"('Wieruszów Miasto_o', 'Kępno_i')",1
245,"('Małomice_o', 'Żagań_i')",1
246,"('Zebrzydowice_o', 'Czechowice-Dziedzice_i')",1
247,"('Czarna Woda_o', 'Łąg_i')",1
248,"('Pabianice_i', 'Pabianice_o')",1
249,"('Koszalin_o', 'Kołobrzeg_i')",1
250,"('Nowy Tomyśl_o', 'Zbąszyń_i')",1
251,"('Strzelce Krajeńskie Wschód_o', 'Nowe Drezdenko_i')",1
252,"('Łódź\xa0Żabiniec_i', 'Łódź\xa0Żabiniec_o')",0
253,"('Sarnaki_o', 'Niemojki_i')",1
254,"('Warka_i', 'Warka_o')",1
255,"('Siedlce_o', 'Łuków_i')",1
256,"('Strzelce Opolskie_i', 'Strzelce Opolskie_o')",1
257,"('Wrocław Główny_o', 'Wrocław Leśnica_i')",1
258,"('Krzeszowice_o', 'Trzebinia_i')",2
259,"('Laskowice Pomorskie_i', 'Laskowice Pomorskie_o')",1
260,"('Pleszew_o', 'Ostrów Wielkopolski_i')",1
261,"('Iława Główna_o', 'Działdowo_i')",2
262,"('Racibórz_o', 'Chałupki_i')",1
263,"('Gorzów Wielkopolski Wschodni_i', 'Gorzów Wielkopolski Wschodni_o')",0
264,"('Dęblin_o', 'Pilawa_i')",1
265,"('Pisz_o', 'Biała Piska_i')",1
