,Edge,Capacity
0,"('Łobez_o', 'Świdwin_i')",1
1,"('Szepietowo_o', 'Łapy_i')",1
2,"('Bytom Odrzański_o', 'Nowa Sól_i')",1
3,"('Tuchów_o', 'Tarnów_i')",1
4,"('Oleśnica Rataje_o', 'Twardogóra_i')",1
5,"('Trzcianka_o', 'Piła Główna_i')",1
6,"('Chociwel_o', 'Runowo Pomorskie_i')",1
7,"('Opoczno Południe_o', 'Warszawa Gdańska_i')",1
8,"('Laskowice Pomorskie_o', 'Bydgoszcz Główna_i')",1
9,"('Międzyzdroje_o', 'Wysoka Kamieńska_i')",1
10,"('Gliwice_o', 'Lubliniec_i')",1
11,"('Częstochowa Stradom_o', 'Lubliniec_i')",2
12,"('Nowy Dwór Mazowiecki_o', 'Legionowo_i')",1
13,"('Pilawa_o', 'Dęblin_i')",1
14,"('Grybów_o', 'Stróże_i')",1
15,"('Legnica_o', 'Wrocław Główny_i')",1
16,"('Przemyśl Główny_o', 'Jarosław_i')",1
17,"('Mysłowice_o', 'Jaworzno Szczakowa_i')",1
18,"('Łódź Widzew_o', 'Łódź Chojny_i')",1
19,"('Gdynia Główna_i', 'Gdynia Główna_o')",2
20,"('Warszawa Wschodnia_o', 'Ciechanów_i')",1
21,"('Nowy Sącz_i', 'Nowy Sącz_o')",1
22,"('Warszawa Zachodnia_o', 'Warszawa Centralna_i')",2
23,"('Wrocław Mikołajów_o', 'Wrocław Główny_i')",1
24,"('Opoczno Południe_o', 'Warszawa Zachodnia_i')",1
25,"('Szczebrzeszyn_i', 'Szczebrzeszyn_o')",0
26,"('Piotrków Trybunalski_o', 'Gorzkowice_i')",1
27,"('Ziębice_i', 'Ziębice_o')",0
28,"('Legnica_o', 'Środa Śląska_i')",1
29,"('Opole Główne_o', 'Brzeg_i')",2
30,"('Skwierzyna_o', 'Gorzów Wielkopolski_i')",1
31,"('Sosnowiec Główny_o', 'Włoszczowa Północ_i')",1
32,"('Tomaszów Mazowiecki_i', 'Tomaszów Mazowiecki_o')",2
33,"('Wrocław Mikołajów_o', 'Wrocław Nadodrze_i')",1
34,"('Kraków Główny_o', 'Miechów_i')",2
35,"('Konin_o', 'Koło_i')",1
36,"('Kwidzyn_o', 'Grudziądz_i')",1
37,"('Tarnów_o', 'Brzesko Okocim_i')",1
38,"('Jaworzno Szczakowa_o', 'Trzebinia_i')",2
39,"('Otmuchów_o', 'Nysa_i')",1
40,"('Białystok_o', 'Białystok Zielone Wzgórza_i')",1
41,"('Głogówek_o', 'Prudnik_i')",1
42,"('Warszawa Służewiec_o', 'Warszawa Zachodnia (Peron 9)_i')",1
43,"('Zawiercie_o', 'Dąbrowa Górnicza_i')",2
44,"('Pabianice_o', 'Łask_i')",1
45,"('Strzelin_o', 'Ziębice_i')",1
46,"('Iława Główna_o', 'Malbork_i')",2
47,"('Konin_i', 'Konin_o')",1
48,"('Jaworzyna Śląska_o', 'Świdnica Miasto_i')",1
49,"('Nakło nad Notecią_i', 'Nakło nad Notecią_o')",0
50,"('Kalwaria Zebrzydowska Lanckorona_o', 'Sucha Beskidzka Zamek_i')",1
51,"('Chojna_o', 'Mieszkowice_i')",1
52,"('Prabuty_i', 'Prabuty_o')",1
53,"('Czarna Woda_o', 'Kaliska_i')",1
54,"('Zbąszynek_o', 'Poznań Główny_i')",1
55,"('Jabłonowo Pomorskie_o', 'Wąbrzeźno_i')",1
56,"('Kamieniec Ząbkowicki_i', 'Kamieniec Ząbkowicki_o')",1
57,"('Babimost_o', 'Sulechów_i')",1
58,"('Wałbrzych Główny_o', 'Jedlina-Zdrój_i')",1
59,"('Jaworzno Szczakowa_i', 'Jaworzno Szczakowa_o')",1
60,"('Chotyłów_i', 'Chotyłów_o')",0
61,"('Dąbrowa Białostocka_i', 'Dąbrowa Białostocka_o')",0
62,"('Ruciane Nida_i', 'Ruciane Nida_o')",1
63,"('Czechowice-Dziedzice_o', 'Bielsko-Biała Główna_i')",2
64,"('Zduńska Wola_o', 'Łask_i')",1
65,"('Stalowa Wola Charzewice_o', 'Zaklików_i')",1
66,"('Skierniewice_o', 'Żyrardów_i')",2
67,"('Zielona Góra Główna_o', 'Głogów_i')",1
68,"('Działdowo_o', 'Warszawa Gdańska_i')",1
69,"('Gdańsk Wrzeszcz_o', 'Gdańsk Główny_i')",1
70,"('Gniezno_o', 'Poznań Główny_i')",2
71,"('Zduńska Wola_o', 'Sieradz_i')",1
72,"('Skarżysko Kościelne_i', 'Skarżysko Kościelne_o')",0
73,"('Kętrzyn_i', 'Kętrzyn_o')",0
74,"('Sulechów_i', 'Sulechów_o')",1
75,"('Gorzów Wielkopolski Wschodni_o', 'Strzelce Krajeńskie Wschód_i')",1
76,"('Runowo Pomorskie_o', 'Chociwel_i')",1
77,"('Miechów_o', 'Kraków Główny_i')",3
78,"('Kraków Płaszów_o', 'Kraków Główny_i')",1
