,Edge,Capacity
0,"('Bydgoszcz Leśna', 'Bydgoszcz Główna')",1
1,"('Łódź Chojny_i', 'Łódź Chojny_o')",0
2,"('Oświęcim_i', 'Oświęcim_o')",1
3,"('Jarocin', 'Środa Wielkopolska')",2
4,"('Lubin', 'Legnica')",1
5,"('Ropczyce_i', 'Ropczyce_o')",0
6,"('Laskowice Pomorskie_i', 'Laskowice Pomorskie_o')",0
7,"('Mońki_i', 'Mońki_o')",1
8,"('Runowo Pomorskie_i', 'Runowo Pomorskie_o')",0
9,"('Olsztynek_i', 'Olsztynek_o')",0
10,"('Malbork_i', 'Malbork_o')",1
11,"('Płock_i', 'Płock_o')",2
12,"('Wałbrzych Główny', 'Sędzisław')",2
13,"('Biała Podlaska', 'Chotyłów')",1
14,"('Głogów', 'Bytom Odrzański')",1
15,"('Suwałki_i', 'Suwałki_o')",1
16,"('Sucha Beskidzka Zamek', 'Maków Podhalański')",1
17,"('Kędzierzyn Koźle_i', 'Kędzierzyn Koźle_o')",1
18,"('Jędrzejów', 'Sędziszów')",1
19,"('Warszawa Młynów', 'Warszawa Gdańska')",1
20,"('Gniezno_i', 'Gniezno_o')",1
21,"('Gogolin', 'Zdzieszowice')",1
22,"('Myszków', 'Częstochowa')",1
23,"('Łódź Kaliska_i', 'Łódź Kaliska_o')",2
24,"('Kępno_i', 'Kępno_o')",0
25,"('Strzelce Krajeńskie Wschód_i', 'Strzelce Krajeńskie Wschód_o')",0
26,"('Zielona Góra Główna', 'Sulechów')",2
27,"('Oborniki Śląskie', 'Wrocław Główny')",2
28,"('Wąbrzeźno', 'Jabłonowo Pomorskie')",1
29,"('Włoszczowa Północ', 'Miechów')",1
30,"('Piła Główna', 'Wałcz')",1
31,"('Goleniów_i', 'Goleniów_o')",0
32,"('Tuczno Krajeńskie', 'Kalisz Pomorski')",1
33,"('Opoczno Południe', 'Warszawa Gdańska')",1
34,"('Zebrzydowice', 'Petrovice u Karviné')",1
35,"('Skierniewice_i', 'Skierniewice_o')",0
36,"('Petrovice u Karviné_i', 'Petrovice u Karviné_o')",0
37,"('Rawicz', 'Leszno')",2
38,"('Pruszcz Gdański', 'Gdańsk Główny')",1
39,"('Zbąszyń_i', 'Zbąszyń_o')",0
