,Edge_start,Edge_end,Capacity
0,64303o,64451i,10
1,53850i,53850o,10
2,36707o,36459i,10
3,62653o,62802i,10
4,48181o,48033i,10
5,83600o,83758i,10
6,14043o,13904i,10
7,58651o,58784i,10
8,265251o,78907i,10
9,29215o,29108i,10
10,28969o,28803i,10
11,8979o,8961i,10
12,48801i,48801o,10
13,27805o,42002i,10
14,251561o,46409i,10
15,22004i,22004o,10
16,79905i,79905o,10
17,7872o,8151i,10
18,13003o,13334i,10
19,48801o,48355i,10
20,54528o,54551i,10
21,26104o,26708i,10
22,264954o,46581i,10
23,39974o,39909i,10
24,80416o,33506i,10
25,8904o,15602i,10
26,81703i,81703o,10
27,56408o,56424i,10
28,56903o,56606i,10
29,42606i,42606o,10
30,279919o,24133i,10
31,62802o,79467i,10
32,21600i,21600o,10
33,273o,851i,10
34,264970o,48504i,10
35,45245i,45245o,10
36,61705o,69708i,10
37,60269o,60335i,10
38,179200i,179200o,10
39,51102i,51102o,10
40,69708i,69708o,10
41,30809i,30809o,10
42,7500o,7534i,10
43,68700i,68700o,10
44,47605o,46409i,10
45,44701o,30205i,10
46,280397o,66050i,10
47,39008o,38653i,10
48,51508o,65243i,10
49,59675i,59675o,10
50,24000i,24000o,10
51,23101o,8086i,10
52,76000o,69203i,10
53,24158o,24133i,10
54,56424o,56408i,10
55,32524i,32524o,10
56,71407o,69708i,10
57,39206o,49809i,10
58,10900o,9233i,10
59,47258o,47001i,10
60,27300o,26161i,10
61,48033i,48033o,10
62,47605o,47258i,10
63,12609o,10405i,10
64,5256o,4705i,10
65,60103o,58784i,10
66,55806i,55806o,10
67,75309o,73908i,10
68,60269i,60269o,10
69,46789i,46789o,10
70,61705o,60608i,10
71,18200o,18408i,10
72,80416o,77701i,10
73,9209i,9209o,10
74,78907o,78980i,10
75,33100i,33100o,10
76,42002i,42002o,10
77,30601o,27201i,10
78,33506i,33506o,10
79,53009o,54007i,10
80,32433o,32201i,10
81,82073i,82073o,10
82,74658i,74658o,10
83,59691i,59691o,10
84,69708o,70201i,10
85,48355o,48033i,10
86,45401i,45401o,10
87,59048o,58974i,10
88,75903o,76000i,10
89,25403o,24430i,10
90,81208i,81208o,10
91,13904i,13904o,10
92,50104o,50021i,10
93,34835o,34868i,10
94,33605o,38653i,10
95,48181o,49205i,10
96,51508i,51508o,10
97,77503o,73908i,10
98,56713i,56713o,10
99,57307i,57307o,10
100,37507i,37507o,10
101,22442o,37226i,10
102,60103o,62109i,10
103,45906o,59691i,10
104,68700o,68882i,10
105,75309o,36103i,10
106,36939i,36939o,10
107,5108i,5108o,10
108,54403i,54403o,10
109,32706i,32706o,10
110,79657o,79806i,10
111,48231o,48009i,10
112,74583o,74658i,10
113,30007o,30122i,10
114,84434o,84301i,10
115,46581o,46649i,10
116,62802o,71860i,10
117,54007o,53009i,10
118,62653o,63073i,10
119,69823o,69708i,10
120,60608o,69708i,10
121,13904o,260653i,10
122,25809o,179212i,10
123,73502o,73908i,10
124,83220i,83220o,10
125,57943o,55145i,10
126,45906o,44842i,10
127,48355o,48801i,10
128,40949i,40949o,10
129,273o,1107i,10
130,56408o,56713i,10
131,65532o,82974i,10
132,38653o,36939i,10
133,83246o,83220i,10
134,46706o,46565i,10
135,65029o,65094i,10
136,37911o,38307i,10
137,68205i,68205o,10
138,51508o,50500i,10
139,4408o,4705i,10
140,62802o,75424i,10
141,50807o,50666i,10
142,265251i,265251o,10
143,67009o,69708i,10
144,39743i,39743o,10
145,27912o,41558i,10
146,21428o,21204i,10
147,24893o,24802i,10
148,63073o,62802i,10
149,36459o,36939i,10
150,38653o,21808i,10
151,9233i,9233o,10
152,24638o,24737i,10
153,41202o,41558i,10
154,54007o,53850i,10
155,32003o,30809i,10
156,6304i,6304o,10
157,46706o,251555i,10
158,32540i,32540o,10
159,8151o,10934i,10
160,54205o,53009i,10
161,179212i,179212o,10
162,15529o,15354i,10
163,38653o,39206i,10
164,30007i,30007o,10
165,77701i,77701o,10
166,7112o,7872i,10
167,279919i,279919o,10
168,59048i,59048o,10
169,63552o,64451i,10
170,18705i,18705o,10
171,81067o,81703i,10
172,34207o,33506i,10
173,50906o,179193i,10
174,36939o,38653i,10
175,58651i,58651o,10
176,74658o,75309i,10
177,48959o,64899i,10
178,33472i,33472o,10
