,Edge_start,Edge_end,Capacity
0,21501o,19703i,1
1,50609i,50609o,1
2,2477o,2204i,1
3,77701o,77503i,1
4,11809o,12252i,1
5,27805o,27912i,1
6,60608o,69708i,1
7,84400o,84434i,1
8,54908i,54908o,1
9,73908o,73502i,1
10,75309o,73908i,1
11,82669o,261251i,1
12,15529i,15529o,1
13,63073o,64808i,1
14,13003i,13003o,1
15,58784i,58784o,1
16,64808o,63552i,1
17,78907o,78980i,1
18,21204o,20909i,1
19,27201o,26211i,1
20,32524o,32201i,1
21,10934o,10900i,1
22,33506o,62802i,1
23,47886o,62653i,1
24,45906o,59691i,1
25,75309o,75424i,1
26,79020i,79020o,1
27,47704o,47886i,1
28,76000o,75903i,1
29,50484i,50484o,1
30,61572o,60608i,1
31,25403o,25205i,1
32,78345o,80416i,1
33,179221i,179221o,1
34,261251o,82669i,1
35,13003o,13334i,1
36,71555o,61200i,1
37,21808o,38653i,1
38,74658i,74658o,1
39,25809i,25809o,1
40,13003o,14043i,1
41,48009o,48355i,1
42,61903i,61903o,1
43,258708o,78535i,1
44,47605o,48959i,1
45,28969i,28969o,1
46,82073i,82073o,1
47,12369o,10827i,1
48,46409i,46409o,1
49,44701i,44701o,1
50,44420o,58784i,1
51,6304o,5256i,1
52,81703i,81703o,1
53,39776i,39776o,1
54,60103o,54551i,1
55,82404o,82552i,1
56,10405o,9209i,1
57,48009o,48231i,1
58,81786o,83410i,1
59,82586o,82099i,1
60,5942o,5900i,1
61,62109i,62109o,1
62,19703o,21501i,1
63,48355o,48033i,1
64,78907i,78907o,1
65,80416o,73312i,1
66,10900o,10934i,1
67,4705o,5108i,1
68,36103o,75309i,1
69,53280o,53009i,1
70,55103o,54551i,1
71,39321i,39321o,1
72,39743o,39404i,1
73,80416o,79467i,1
74,21808o,7872i,1
75,19174o,19190i,1
76,66589o,66449i,1
77,55145o,55103i,1
78,36939o,36707i,1
79,74658o,64899i,1
80,83600o,83725i,1
81,38653o,33605i,1
82,65003o,66407i,1
83,69708o,71407i,1
84,25809o,28100i,1
85,50807o,50948i,1
86,5942o,7583i,1
87,67009o,68882i,1
88,4135i,4135o,1
89,73908o,75309i,1
90,2477i,2477o,1
91,45682o,71860i,1
92,57703o,56408i,1
93,50021o,48736i,1
94,39404o,233222i,1
95,47704o,47258i,1
96,71407o,61572i,1
97,75309o,33506i,1
98,10900i,10900o,1
99,42200o,60400i,1
100,14548i,14548o,1
101,47605i,47605o,1
102,34207o,47001i,1
103,24158i,24158o,1
104,83220i,83220o,1
105,80630o,81208i,1
106,57943o,57307i,1
107,61705o,70201i,1
108,60608o,67009i,1
109,44842o,44701i,1
110,81604i,81604o,1
111,44701o,44842i,1
112,83535i,83535o,1
113,6304o,6098i,1
114,79806o,79657i,1
115,7500o,38653i,1
116,80630o,80986i,1
117,8151i,8151o,1
118,39404o,39743i,1
119,1024o,1008i,1
120,42606i,42606o,1
121,8995o,8961i,1
122,179200o,12872i,1
123,82032o,82073i,1
124,30007o,30122i,1
125,64899i,64899o,1
126,40949o,40808i,1
127,64899o,74658i,1
128,80416o,78907i,1
129,48736o,50021i,1
130,83105i,83105o,1
131,54403o,54817i,1
132,45401o,45617i,1
133,251561o,46565i,1
134,265251o,78907i,1
135,27300i,27300o,1
136,46565o,46409i,1
