,Edge_start,Edge_end,Capacity
0,5108,4408,2
1,36103i,36103o,2
2,21501,21600,3
3,29405,2204,1
4,84434,84400,2
5,3467,3509,1
6,24737i,24737o,0
7,3517,3467,1
8,48736i,48736o,0
9,273,851,1
10,5108i,5108o,0
11,73312i,73312o,2
12,63552,48231,2
13,30601,43406,2
14,29215,14308,1
15,55103,55632,2
16,1008i,1008o,0
17,73312,74658,1
18,265251,78907,1
19,45401i,45401o,0
20,46565,46409,1
21,81067i,81067o,0
22,30601,26104,2
23,81265i,81265o,0
24,75424,75309,1
25,36103,36509,2
26,32201,33100,2
27,21501,19703,2
28,34165i,34165o,0
29,8474,7112,1
30,36939,21808,1
31,9209i,9209o,0
32,45682i,45682o,0
33,73502,73908,1
34,1107i,1107o,1
35,40832i,40832o,1
36,47886,62653,2
37,45476,45401,1
38,26146i,26146o,0
39,48504,48355,1
40,48959,36103,1
41,81265,81232,1
42,75507i,75507o,1
43,45906,45476,1
44,32706i,32706o,0
45,71407i,71407o,0
46,30601,28472,1
47,18705,32003,2
48,10900,9233,2
49,34868i,34868o,1
50,21428,32706,1
51,273,1107,2
52,265251i,265251o,0
53,64808,63552,2
54,5256,4705,2
55,14514,18200,1
56,40949,251575,1
57,1560,1404,2
58,42200,27805,1
59,48959,64899,1
60,75309i,75309o,1
61,73700i,73700o,0
62,47001i,47001o,0
63,28803i,28803o,0
64,44420i,44420o,1
65,62109i,62109o,1
66,81208i,81208o,0
67,279919,24000,1
68,30122,30007,1
69,262848,50104,2
70,48355i,48355o,1
71,46789i,46789o,0
72,69823,73106,1
73,16188i,16188o,1
74,53009,53280,1
75,40832,40808,1
76,57943i,57943o,0
77,64899,79467,1
78,15008i,15008o,0
79,48009i,48009o,1
80,1404i,1404o,0
81,6098,5900,1
82,33472i,33472o,0
83,61903,67066,1
84,33506,48959,1
85,36939,36459,2
86,42606,43406,1
87,3905,3004,1
88,279919,24539,2
89,82669i,82669o,1
90,37226,22442,1
91,11809,12252,1
92,48231i,48231o,0
93,260653i,260653o,0
94,28100,25809,2
95,29405,29181,2
96,11809i,11809o,1
97,58784,60103,2
98,19489,45245,1
99,55806i,55806o,0
100,14043i,14043o,0
101,37911i,37911o,0
102,25809i,25809o,2
103,84400,179301,1
104,3905i,3905o,1
105,78907i,78907o,1
106,179200,12872,1
107,29645,16139,1
108,18374,16717,1
109,33563i,33563o,0
110,44305,44420,1
111,74633,74583,1
112,179221i,179221o,0
113,21501i,21501o,0
114,10934,10900,1
115,6304,6098,1
116,77107i,77107o,1
117,258708i,258708o,0
118,3905,4408,2
119,80416,78345,1
120,33563,33902,1
121,46409,47704,1
122,81067,81125,1
123,55665i,55665o,0
124,74658i,74658o,1
125,60103,60608,1
126,59105i,59105o,1
127,50021i,50021o,0
128,179301i,179301o,0
129,22004,9233,2
130,5942i,5942o,2
131,46649,19430,1
132,32201,33191,2
133,62802i,62802o,0
134,24737,38307,1
135,75903,73700,1
136,75903,76000,1
137,19430,19489,1
138,77701,80416,2
139,49809,50021,1
140,75424i,75424o,1
141,47001,34207,2
142,29645i,29645o,1
143,83105,83022,2
144,69708,69823,2
145,25809,13003,1
146,273i,273o,2
147,13003i,13003o,1
148,74583,75309,1
149,67009,69708,1
150,80630,79806,2
151,73312,69823,2
152,36343,38653,2
153,80986,81067,1
154,34165,34207,2
155,13417,13003,1
156,3004,16402,1
157,42127,42002,1
158,7534,7583,2
159,80630,79657,1
160,13904,26500,1
161,83261,83105,1
162,38653,38885,2
163,60608,69708,2
164,20719i,20719o,0
165,67009i,67009o,1
166,28100,26104,2
167,48504,33902,2
168,54551i,54551o,1
169,32201,21600,3
170,77701,77503,2
171,79806,79657,1
172,27300,27805,2
173,14043,13003,1
174,28472,30007,2
175,30809,32003,2
176,251575,40998,1
177,12336i,12336o,0
178,24133,279919,1
179,44842,44701,2
180,69708,61705,1
181,64303,79467,1
182,50666,50484,1
183,27805,25809,2
184,38653,21808,1
185,30601,30205,2
186,50021,50104,2
187,46805,32540,2
188,7112,7500,2
189,83394,83501,1
190,34207,33506,2
191,47605i,47605o,1
192,1024i,1024o,1
193,83725,83600,1
194,260653,13904,1
195,47258,47704,1
196,50948,50906,1
197,27201,26211,1
198,61705i,61705o,0
199,28803,30601,2
200,3905,3632,1
201,179223i,179223o,0
202,32904i,32904o,0
203,22202,9456,1
204,77503,77834,1
205,83584i,83584o,0
206,63552,64451,2
207,19794i,19794o,0
208,19703i,19703o,1
209,14761,15008,1
210,60608,61705,1
211,60103,53009,1
212,81208,80630,2
213,45682,45617,1
214,36103,34835,1
215,19844,16717,2
216,17202,18408,2
217,62109,58271,1
218,47258,46409,1
219,45617i,45617o,0
220,79905,79657,2
221,26161,26104,1
222,14407,16402,1
223,24133i,24133o,1
224,38885i,38885o,0
225,34868,34835,1
226,32607,32359,1
227,78345i,78345o,1
228,55632,55665,2
229,258708,78345,2
230,22004,21808,1
231,21808,22905,1
232,54551,54528,1
233,29108i,29108o,1
234,71860,45682,1
235,69203i,69203o,0
236,42606,44305,2
237,50948i,50948o,0
238,75507,179221,1
239,62802,62653,1
240,36103,38653,2
241,84301,84434,1
242,47001,47258,3
243,79905,80416,1
244,3517i,3517o,1
245,46706,46789,1
246,53009i,53009o,1
247,21808,22442,3
248,44701i,44701o,1
249,83725i,83725o,0
250,74583i,74583o,1
251,46458i,46458o,0
252,12963,12807,1
253,32003i,32003o,0
254,5256,6304,1
255,33100i,33100o,1
256,38653i,38653o,3
257,29108,29181,1
258,73106i,73106o,0
259,21204i,21204o,0
260,40808,40949,1
261,1024,1560,1
262,18200i,18200o,0
263,30007i,30007o,0
264,50948,50807,1
265,46706i,46706o,2
266,12963i,12963o,1
267,62653i,62653o,1
268,75309,64808,1
269,81208,82669,1
270,1024,1008,1
271,21600i,21600o,1
272,83501,83535,1
273,30601,30809,3
274,46409i,46409o,1
275,21808i,21808o,1
276,4101i,4101o,0
277,14761i,14761o,0
278,81604i,81604o,0
279,48231,48009,2
280,55103,54551,1
281,2477,15008,1
282,55806,55665,1
283,24638,24737,1
284,4101,3905,1
285,73908,77503,1
286,18374,18408,1
287,12336,11809,1
288,33100,30601,2
289,80416i,80416o,2
290,74633,74658,2
291,20743i,20743o,0
292,18374i,18374o,0
293,46649i,46649o,1
294,13904i,13904o,1
295,14407,16188,1
296,9456,9233,2
297,26211,26146,1
298,58651,59105,1
299,29223i,29223o,0
300,26161,27300,1
301,4408i,4408o,2
302,22442i,22442o,1
303,48959,47605,1
304,73312,73700,1
305,19844,19703,2
306,44842i,44842o,0
307,60103,58651,1
308,7534,7500,2
309,18408,18705,2
310,5942,7583,2
311,33506,80416,1
312,83261i,83261o,0
313,27201,30601,2
314,83394i,83394o,0
315,39008,38653,1
316,24158i,24158o,0
317,68700i,68700o,1
318,76000,75507,1
319,73908i,73908o,1
320,81125,81604,1
321,26708,26500,1
322,50807,50666,2
323,81265,82669,1
324,78535,258708,1
325,54403i,54403o,1
326,10934i,10934o,0
327,25809,179212,2
328,32607i,32607o,2
329,19489i,19489o,1
330,38885,39206,1
331,54528i,54528o,1
332,83261,84434,1
333,262848i,262848o,0
334,30601,29645,2
335,53280i,53280o,0
336,33563,34868,1
337,32524,32201,2
338,32904,32201,2
339,76109,76000,1
340,39206,49809,1
341,30205,44701,2
342,46565i,46565o,0
343,26104i,26104o,1
344,48009,48355,1
345,1560i,1560o,0
346,179200i,179200o,0
347,21808,7872,2
348,47704i,47704o,0
349,64899i,64899o,1
350,33605,33506,2
351,24133,24158,1
352,42606i,42606o,1
353,63552i,63552o,1
354,83535,83584,1
355,83584,83725,1
356,59576i,59576o,1
357,3509i,3509o,1
358,74633i,74633o,0
359,30122,33100,1
360,67900,179223,1
361,10900i,10900o,0
362,22905i,22905o,0
363,14308,260653,1
364,75309,64899,1
365,279919i,279919o,0
366,80630i,80630o,1
367,39909i,39909o,1
368,45906,44842,1
369,28472i,28472o,0
370,24430,279919,1
371,33506,32201,1
372,50484,50500,1
373,45245,44842,1
374,38307i,38307o,0
375,60608,62109,2
376,44305i,44305o,1
377,58784,58651,1
378,30809i,30809o,1
379,60608,71407,1
380,77834,77107,1
381,20909,21204,1
382,27300i,27300o,1
383,21428i,21428o,0
384,79020i,79020o,0
385,10405,9209,1
386,69708i,69708o,1
387,33506,34165,1
388,29405i,29405o,1
389,84434i,84434o,0
390,79806i,79806o,0
391,8474i,8474o,0
392,80986,80630,1
393,64808i,64808o,1
394,7872,8151,1
395,84301,83261,1
396,39875,39008,1
397,60103i,60103o,3
398,67066i,67066o,0
399,36103,34207,1
400,12252i,12252o,0
401,3509,3632,2
402,84400i,84400o,2
403,67900i,67900o,1
404,58271,60103,2
405,251575i,251575o,0
406,851,13334,2
407,33191,33100,1
408,32607,32706,1
409,19794,19901,1
410,8151i,8151o,0
411,7112,7872,2
412,58784i,58784o,1
413,45906,59691,1
414,32540,32524,1
415,46789,46805,1
416,50484i,50484o,0
417,53280,42200,2
418,83022i,83022o,0
419,49809i,49809o,1
420,77701i,77701o,1
421,50609i,50609o,0
422,42127i,42127o,0
423,1107,1404,1
424,59576,59691,1
425,32540i,32540o,0
426,7112,17202,2
427,32524i,32524o,0
428,37226i,37226o,1
429,81232i,81232o,0
430,20719,20743,1
431,16139,16188,1
432,16139i,16139o,1
433,40808i,40808o,1
434,46409,46458,1
435,28969,29108,1
436,43406i,43406o,1
437,26104,26146,1
438,57943,55145,1
439,13334i,13334o,0
440,59105,59576,1
441,40998i,40998o,0
442,38307,37911,2
443,83535i,83535o,0
444,77834i,77834o,0
445,2204i,2204o,2
446,68205,69203,1
447,26708i,26708o,0
448,50906i,50906o,0
449,47258i,47258o,1
450,46805i,46805o,0
451,14407i,14407o,2
452,24638i,24638o,0
453,32904,34603,1
454,77503i,77503o,1
455,45245,45906,1
456,58271i,58271o,1
457,5108,4705,2
458,71407,62802,1
459,34207i,34207o,0
460,29215i,29215o,0
461,50609,50500,1
462,6098i,6098o,0
463,12872i,12872o,1
464,55103i,55103o,1
465,7302i,7302o,0
466,24539,24638,1
467,33605i,33605o,4
468,7872i,7872o,1
469,50666i,50666o,0
470,16717i,16717o,0
471,33506,33472,1
472,62653,75424,1
473,69823i,69823o,0
474,64451,64303,1
475,19703,19794,1
476,7500i,7500o,2
477,50104i,50104o,1
478,30122i,30122o,0
479,42002i,42002o,1
480,50500,262848,1
481,83600i,83600o,0
482,20909,21808,1
483,67066,67009,1
484,33506,34603,2
485,45476i,45476o,0
486,9233i,9233o,1
487,54403,54528,1
488,59691i,59691o,0
489,24539i,24539o,0
490,68700,67900,1
491,36939,37226,2
492,47704,47886,2
493,3517,2204,1
494,36459,36509,1
495,45617,45401,1
496,7302,7500,1
497,45906i,45906o,2
498,2204,1107,2
499,4705i,4705o,0
500,265251,78535,1
501,50500i,50500o,1
502,37507,37911,1
503,55632i,55632o,0
504,83022,82669,1
505,19844i,19844o,0
506,60608,61903,1
507,37507,36343,1
508,22004i,22004o,0
509,13417i,13417o,0
510,48959i,48959o,1
511,34603i,34603o,0
512,12807i,12807o,1
513,78907,79020,1
514,8151,10934,1
515,73106,73312,1
516,28803,28969,1
517,81679,81604,1
518,73502,73312,1
519,80416,80630,2
520,5900i,5900o,2
521,58651i,58651o,1
522,39206i,39206o,0
523,76000,77107,1
524,3467i,3467o,0
525,12807,12872,1
526,10405i,10405o,0
527,78535i,78535o,0
528,36343i,36343o,0
529,9209,9233,2
530,29181i,29181o,0
531,30205i,30205o,1
532,13334,13417,1
533,46565,46706,2
534,22905,7872,1
535,69203,76000,1
536,55145i,55145o,0
537,79905i,79905o,1
538,18408i,18408o,2
539,28100i,28100o,0
540,14761,14704,1
541,68205i,68205o,1
542,22202,22442,1
543,851i,851o,0
544,76000i,76000o,2
545,83600,83758,1
546,3004i,3004o,1
547,33191i,33191o,0
548,81232,81208,1
549,20909i,20909o,0
550,24158,12252,1
551,48736,48355,1
552,18705i,18705o,0
553,20743,20909,1
554,27805,42002,1
555,7583i,7583o,1
556,179193i,179193o,0
557,32201,32359,1
558,42200i,42200o,1
559,22202i,22202o,0
560,5900,5942,2
561,36509,38653,1
562,30601i,30601o,4
563,45245i,45245o,0
564,14308i,14308o,0
565,16402i,16402o,1
566,39008i,39008o,0
567,14407,14704,1
568,60103,54403,1
569,73502i,73502o,1
570,47605,47258,1
571,36459i,36459o,1
572,24430i,24430o,0
573,27805i,27805o,1
574,14548,29223,1
575,29223,29108,1
576,7534i,7534o,1
577,80416,79467,2
578,32201i,32201o,1
579,80416,73312,1
580,58784,44420,1
581,7112,7302,1
582,24000i,24000o,1
583,32359i,32359o,0
584,2477i,2477o,0
585,26161i,26161o,1
586,26211i,26211o,0
587,47886i,47886o,0
588,81125i,81125o,0
589,34835i,34835o,1
590,26500i,26500o,0
591,17202i,17202o,0
592,36939i,36939o,0
593,79467i,79467o,1
594,22442,36103,1
595,60608i,60608o,2
596,38653,33605,3
597,14548i,14548o,0
598,42200,42127,1
599,3632i,3632o,1
600,19901,20719,1
601,40949i,40949o,0
602,64451i,64451o,0
603,81679i,81679o,0
604,64303i,64303o,0
605,21204,21428,1
606,80986i,80986o,0
607,13003,13334,1
608,179212i,179212o,0
609,76109i,76109o,0
610,83105i,83105o,0
611,61903i,61903o,0
612,33902i,33902o,0
613,7112i,7112o,1
614,75309,74658,1
615,48504i,48504o,0
616,33506i,33506o,1
617,6304i,6304o,1
618,29108,29215,1
619,2204,2477,1
620,84301i,84301o,0
621,28969i,28969o,0
622,39909,40832,1
623,55145,55103,1
624,50807i,50807o,0
625,39875i,39875o,0
626,27201i,27201o,0
627,19430i,19430o,1
628,71860i,71860o,0
629,18200,18408,1
630,36509i,36509o,1
631,14704i,14704o,1
632,13904,14043,1
633,19901i,19901o,0
634,14514i,14514o,1
635,37507i,37507o,1
636,75903i,75903o,1
637,83501i,83501o,0
638,83758i,83758o,0
639,14514,14407,1
640,79657i,79657o,0
641,9456i,9456o,0
642,5256i,5256o,1
