,Edge_start,Edge_end,Capacity
0,18374,18408,1
1,46565i,46565o,0
2,77107i,77107o,1
3,44701,30205,2
4,53280,53009,1
5,81232i,81232o,0
6,17202i,17202o,0
7,24133i,24133o,1
8,3467i,3467o,0
9,9456i,9456o,0
10,7872i,7872o,1
11,32607i,32607o,2
12,55103,55632,2
13,40808,40949,1
14,42200,42127,1
15,12807i,12807o,1
16,258708,78535,1
17,67009i,67009o,1
18,64451,64303,1
19,34835,36103,1
20,30809i,30809o,1
21,61903,67066,1
22,75424,62653,1
23,46706i,46706o,2
24,45401i,45401o,0
25,14308i,14308o,0
26,27805,27300,2
27,58784,60103,2
28,20743,20909,1
29,64899,79467,1
30,14407,14704,1
31,1404i,1404o,0
32,14761,15008,1
33,48959,36103,1
34,75507,179221,1
35,47001i,47001o,0
36,179221i,179221o,0
37,44305,42606,2
38,7302,7500,1
39,26146i,26146o,0
40,10900i,10900o,0
41,14548i,14548o,0
42,30601,28472,1
43,73908,77503,1
44,16717,18374,1
45,1107,1404,1
46,19703i,19703o,1
47,1107i,1107o,1
48,73700i,73700o,0
49,32706,32607,1
50,1404,1560,2
51,14407,16188,1
52,46649,19430,1
53,77701,77503,2
54,49809,39206,1
55,24000i,24000o,1
56,45401,45476,1
57,44842,45906,1
58,28100,25809,2
59,53009i,53009o,1
60,28472,30007,2
61,84400,84434,2
62,50609i,50609o,0
63,32607,32359,1
64,37226i,37226o,1
65,46649i,46649o,1
66,73312,73700,1
67,33563,33902,1
68,81067i,81067o,0
69,9209i,9209o,0
70,34868,34835,1
71,55665i,55665o,0
72,69823,73312,2
73,83022,82669,1
74,273i,273o,2
75,7872,7112,2
76,73106,73312,1
77,59105i,59105o,1
78,48736i,48736o,0
79,50807,50948,1
80,21204,21428,1
81,83261,84301,1
82,29223,29108,1
83,13334i,13334o,0
84,74633,74583,1
85,32003,18705,2
86,3004,16402,1
87,10934,10900,1
88,68205i,68205o,1
89,33605,33506,2
90,60103,60608,1
91,81604,81679,1
92,24158,24133,1
93,38307,24737,1
94,80630,80416,2
95,74633i,74633o,0
96,83535i,83535o,0
97,3517,2204,1
98,18200,18408,1
99,26104,30601,2
100,32359i,32359o,0
101,6098,5900,1
102,29108i,29108o,1
103,38885,38653,2
104,24158,12252,1
105,34835i,34835o,1
106,69708,67009,1
107,18374i,18374o,0
108,76109i,76109o,0
109,21204i,21204o,0
110,36939,37226,2
111,14704i,14704o,1
112,59691,59576,1
113,60103,58271,2
114,19844,19703,2
115,79905,80416,1
116,2204,1107,2
117,33100,30122,1
118,48231i,48231o,0
119,262848i,262848o,0
120,50666,50807,2
121,9456,22202,1
122,1024,1560,1
123,34868,33563,1
124,22442,36103,1
125,7534,7583,2
126,5108i,5108o,0
127,36459i,36459o,1
128,50484,50666,1
129,33605,38653,3
130,58784i,58784o,1
131,50484i,50484o,0
132,27201,30601,2
133,76000,75903,1
134,63552,64808,2
135,73502i,73502o,1
136,84434,84301,1
137,8474,7112,1
138,7500,7534,2
139,30601i,30601o,4
140,28803,28969,1
141,9233,9456,2
142,21808,22442,3
143,19901i,19901o,0
144,40949,251575,1
145,25809,179212,2
146,55806i,55806o,0
147,59576,59105,1
148,30122,30007,1
149,26104,26161,1
150,27300,26161,1
151,24430i,24430o,0
152,54528,54551,1
153,4705,5256,2
154,179193i,179193o,0
155,44305,44420,1
156,22905,7872,1
157,8474i,8474o,0
158,25809,27805,2
159,69708,69823,2
160,48009i,48009o,1
161,25809i,25809o,2
162,68205,69203,1
163,16188,16139,1
164,4705,5108,2
165,46565,46706,2
166,75309i,75309o,1
167,50104,50021,2
168,21600,32201,3
169,29108,29215,1
170,75309,74658,1
171,45401,45617,1
172,34207,47001,2
173,16139,29645,1
174,67900i,67900o,1
175,84400i,84400o,2
176,81208,80630,2
177,47001,47258,3
178,34603,33506,2
179,26104i,26104o,1
180,258708i,258708o,0
181,43406i,43406o,1
182,29181,29108,1
183,24133,279919,1
184,14043i,14043o,0
185,29405,29181,2
186,60103i,60103o,3
187,33506,48959,1
188,79806,79657,1
189,29215i,29215o,0
190,44842i,44842o,0
191,79467,64303,1
192,12872i,12872o,1
193,57943i,57943o,0
194,44701,44842,2
195,77503,77834,1
196,76000,75507,1
197,21600,21501,3
198,83725,83600,1
199,50666i,50666o,0
200,28100,26104,2
201,38307,37911,2
202,46805,32540,2
203,76000,77107,1
204,33472i,33472o,0
205,13334,13417,1
206,46706,46789,1
207,22004,21808,1
208,74658,74633,2
209,75309,75424,1
210,29645i,29645o,1
211,38885i,38885o,0
212,26146,26211,1
213,13003,25809,1
214,22905i,22905o,0
215,36509i,36509o,1
216,79806,80630,2
217,48009,48355,1
218,73106i,73106o,0
219,6304i,6304o,1
220,57943,55145,1
221,50948i,50948o,0
222,21808,22905,1
223,48959,47605,1
224,32201,32904,2
225,61705i,61705o,0
226,38653,36103,2
227,1008,1024,1
228,46565,46409,1
229,63552,64451,2
230,7583,5942,2
231,69708,61705,1
232,46789i,46789o,0
233,7302i,7302o,0
234,18408,18705,2
235,78345,80416,1
236,73908,73502,1
237,28803,30601,2
238,45906,59691,1
239,32201,33100,2
240,81604i,81604o,0
241,73908i,73908o,1
242,1560i,1560o,0
243,59105,58651,1
244,83105,83261,1
245,9209,9233,2
246,3632,3905,1
247,4705i,4705o,0
248,32003,30809,2
249,69708,60608,2
250,36103,36509,2
251,32904,34603,1
252,10900,9233,2
253,42002,42127,1
254,81265,82669,1
255,80630i,80630o,1
256,33100i,33100o,1
257,33506,32201,1
258,11809i,11809o,1
259,258708,78345,2
260,3517i,3517o,1
261,83022i,83022o,0
262,3509,3467,1
263,50500i,50500o,1
