Station Name,Travel Time
Kraków Główny                    ,5
Kraków Płaszów                   ,22
Bochnia                          ,8
Brzesko Okocim                   ,15
Tarnów                           ,19
Dębica                           ,8
Ropczyce                         ,6
Sędziszów Małopolski             ,16
Rzeszów Główny                   ,11
Łańcut                           ,12
Przeworsk                        ,9
Jarosław                         ,9
Radymno                          ,14
Przemyśl Zasanie                 ,3
Przemyśl Główny                  ,0510
