Station Name,Travel Time
Kraków Główny_i,0
Kraków Główny_o,5
Kraków Płaszów_i,1
Kraków Płaszów_o,22
Bochnia_i,1
Bochnia_o,8
Brzesko Okocim_i,1
Brzesko Okocim_o,15
Tarnów_i,3
Tarnów_o,19
Dębica_i,2
Dębica_o,8
Ropczyce_i,2
Ropczyce_o,6
Sędziszów Małopolski_i,2
Sędziszów Małopolski_o,16
Rzeszów Główny_i,5
Rzeszów Główny_o,11
Łańcut_i,1
Łańcut_o,12
Przeworsk_i,1
Przeworsk_o,9
Jarosław_i,7
Jarosław_o,9
Radymno_i,1
Radymno_o,14
Przemyśl Zasanie_i,1
Przemyśl Zasanie_o,3
Przemyśl Główny_i,5
Przemyśl Główny_o,510
