Station Name,Travel Time
Kraków Główny                    ,30
Miechów                          ,16
Sędziszów                        ,13
Jędrzejów                        ,31
Kielce                           ,26
Suchedniów                       ,7
Skarżysko Kamienna               ,26
Radom Główny                     ,4
Radom Gołębiów                   ,19
Warka                            ,14
Piaseczno                        ,7
Warszawa Służewiec               ,8
Warszawa Zachodnia (Peron 9)     ,3
Warszawa Młynów                  ,4
Warszawa Gdańska                 ,12
Legionowo                        ,8
Nowy Dwór Mazowiecki             ,30
Ciechanów                        ,15
Mława                            ,8
Działdowo                        ,15
Nidzica                          ,19
Olsztynek                        ,18
Olsztyn Zachodni                 ,3
Olsztyn Główny                   ,0745
