Station Name,Travel Time
Kraków Główny                    ,15
Krzeszowice                      ,8
Trzebinia                        ,9
Jaworzno Szczakowa               ,26
Zawiercie                        ,7
Myszków                          ,22
Częstochowa Stradom              ,21
Lubliniec                        ,18
Olesno Śląskie                   ,14
Kluczbork                        ,11
Byczyna Kluczborska              ,17
Kępno                            ,12
Ostrzeszów                       ,16
Ostrów Wielkopolski              ,18
Pleszew                          ,12
Jarocin                          ,23
Środa Wielkopolska               ,37
Poznań Główny                    ,1716
