Station Name,Travel Time
Zielona Góra Główna_i,0
Zielona Góra Główna_o,17
Sulechów_i,1
Sulechów_o,11
Babimost_i,1
Babimost_o,8
Zbąszynek_i,1
Zbąszynek_o,6
Zbąszyń_i,1
Zbąszyń_o,11
Nowy Tomyśl_i,1
Nowy Tomyśl_o,12
Opalenica_i,1
Opalenica_o,23
Poznań Główny_i,20
Poznań Główny_o,30
Gniezno_i,1
Gniezno_o,16
Mogilno_i,1
Mogilno_o,16
Inowrocław_i,1
Inowrocław_o,27
Bydgoszcz Główna_i,3
Bydgoszcz Główna_o,30
Laskowice Pomorskie_i,1
Laskowice Pomorskie_o,19
Smętowo_i,1
Smętowo_o,27
Tczew_i,6
Tczew_o,12
Pruszcz Gdański_i,8
Pruszcz Gdański_o,7
Gdańsk Główny_i,3
Gdańsk Główny_o,4
Gdańsk Wrzeszcz_i,1
Gdańsk Wrzeszcz_o,3
Gdańsk Oliwa_i,1
Gdańsk Oliwa_o,3
Sopot_i,1
Sopot_o,8
Gdynia Główna_i,5
Gdynia Główna_o,1641
